column_name,mean,std,min,max,missing_count
Air Temperature,12.613593727719039,10.44165818500328,-29.78,37.6,75
Wet Bulb Temperature,10.266849906580859,9.408779276762843,-28.9,28.4,76006
Humidity,68.02072992552093,15.631472394671897,0.0,100.0,0
Rain Intensity,0.15884907618849908,1.7935867329961979,0.0,183.6,76006
Interval Rain,0.14228288813883755,1.0965990433224766,-0.9,63.42,0
Total Rain,141.4436670126635,190.42137818302115,0.0,1056.1,76006
Precipitation Type,4.268590408968238,15.591745138651417,0.0,70.0,76006
Wind Direction,140.7991864827853,122.02749129865234,0.0,359.0,0
Wind Speed,2.9185515524535335,5.340328836514104,0.0,999.9,0
Maximum Wind Speed,3.556003889406458,5.953706900376216,0.0,999.9,0
Barometric Pressure,994.3153898667754,10.027762279539523,0.0,3098.5,146
Solar Radiation,112.3104957975065,842.5591337244439,-100000.0,1277.0,0
Heading,282.0036205106913,142.74644404129097,0.0,359.0,76006
Battery Life,13.163452815492464,1.5446372814103124,0.0,15.3,0
